State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Yield_tonnes_per_hectare
Maharashtra,District_32,Zaid,Pulses,Loamy,702.3,25.8,61.1,250.7,5.3,Tubewell,Sugarcane,High,1.04
Punjab,District_20,Kharif,Cotton,Sandy,1063.1,16.1,62.1,191.0,6.7,Drip,Maize,Medium,2.01
Uttar Pradesh,District_23,Zaid,Pulses,Alluvial,3428.75,15.7,74.8,463.86,7.0,Canal,Maize,Low,1.49
West Bengal,District_48,Zaid,Maize,Sandy,594.9,36.1,93.6,178.6,6.6,Rainfed,Maize,Medium,2.55
Karnataka,District_14,Rabi,Wheat,Sandy,860.2,23.2,77.2,140.8,7.6,Rainfed,Wheat,Low,2.82
Tamil Nadu,District_27,Zaid,Maize,Alluvial,839.1,31.3,83.2,234.9,6.3,Sprinkler,Wheat,Low,2.63
Tamil Nadu,District_40,Zaid,Pulses,Black,947.5,25.6,50.4,217.4,6.5,Drip,Rice,High,1.15
Uttar Pradesh,District_24,Kharif,Maize,Sandy,1823.5,34.4,58.9,241.3,7.5,Drip,Maize,Medium,2.91
Manipur,District_23,Zaid,Pulses,Loamy,1188.6,29.4,81.8,104.6,5.9,Drip,Rice,High,1.1
Karnataka,District_26,Zaid,Maize,Sandy,1557.3,16.4,85.8,169.1,6.1,Tubewell,Wheat,High,2.34
Assam,District_33,Rabi,Wheat,Black,1301.5,25.8,82.2,64.2,7.1,Rainfed,Pulses,Medium,3.59
Punjab,District_21,Zaid,Maize,Alluvial,1207.5,22.2,53.8,182.9,5.3,Sprinkler,Wheat,Low,2.58
Tamil Nadu,District_4,Zaid,Pulses,Black,,36.0,91.3,179.8,6.6,Rainfed,Maize,Low,1.62
Punjab,District_13,Kharif,Rice,Red,1749.3,32.0,46.0,293.3,7.0,Canal,Pulses,Low,4.34
Uttar Pradesh,District_20,Kharif,Rice,Black,1741.9,20.3,65.8,251.8,6.5,Drip,Cotton,Low,3.75
West Bengal,District_36,Kharif,Cotton,Red,,22.7,55.6,218.7,6.4,Sprinkler,Cotton,Medium,1.73
Odisha,District_18,Kharif,Rice,Alluvial,661.4,28.1,76.4,104.5,6.8,Rainfed,Cotton,High,2.89
Karnataka,District_28,Zaid,Pulses,Red,1173.7,27.2,78.0,133.7,6.9,Tubewell,Wheat,Medium,1.26
Punjab,District_44,Rabi,Wheat,Black,827.8,33.7,56.7,283.4,6.6,Drip,Wheat,Low,3.07
Assam,District_18,Kharif,Rice,Black,665.0,31.9,51.1,83.2,7.0,Canal,Rice,Low,3.94
Manipur,District_27,Rabi,Wheat,Alluvial,535.9,32.9,68.2,82.2,7.0,Sprinkler,Wheat,High,2.33
Maharashtra,District_16,Zaid,Pulses,Red,1138.4,34.2,52.9,203.9,7.1,Drip,Cotton,Low,1.5
Rajasthan,District_24,Rabi,Pulses,Black,96.6,15.2,82.0,162.1,7.4,Sprinkler,Pulses,Low,1.05
Manipur,District_7,Zaid,Pulses,Alluvial,703.5,36.2,54.3,123.0,6.1,Sprinkler,Rice,Medium,1.16
Uttar Pradesh,District_10,Zaid,Maize,Red,699.2,19.7,94.4,188.9,7.3,Drip,Wheat,Low,2.81
Assam,District_2,Zaid,Pulses,Black,1738.8,35.0,56.3,92.2,6.7,Sprinkler,Cotton,High,1.15
Tamil Nadu,District_49,Kharif,Rice,Alluvial,552.0,25.9,84.1,216.3,5.9,Rainfed,Sugarcane,Medium,3.54
Rajasthan,District_23,Zaid,Pulses,sandy,213.4,33.7,49.5,106.6,7.6,Sprinkler,Rice,Low,0.96
Assam,District_44,Zaid,Pulses,Black,508.4,32.2,67.9,117.7,7.1,Tubewell,Rice,Medium,1.2
Uttar Pradesh,District_20,Rabi,Wheat,Red,1372.1,18.5,90.0,163.7,6.6,Canal,Pulses,Medium,2.99
Maharashtra,District_45,Rabi,Pulses,Black,1560.9,34.5,82.7,211.9,7.7,Sprinkler,Pulses,Low,1.21
Assam,District_42,Rabi,Pulses,Sandy,1383.2,19.7,59.7,136.7,7.2,Drip,Pulses,Medium,1.21
Manipur,District_16,Rabi,Pulses,Black,800.2,30.3,85.2,127.6,7.0,Sprinkler,Sugarcane,Medium,1.21
West Bengal,District_42,Rabi,Wheat,Red,341.9,23.1,70.8,103.0,5.6,Sprinkler,Cotton,Low,2.95
Gujarat,District_43,Rabi,Wheat,Red,907.1,19.6,71.5,219.2,6.4,Drip,Sugarcane,Low,2.74
Manipur,District_32,Zaid,Maize,Alluvial,306.9,32.8,59.8,61.4,7.2,Sprinkler,Cotton,Low,2.6
Meghalaya,District_23,Rabi,Wheat,Black,598.1,25.6,85.2,72.8,6.6,Drip,Wheat,Low,2.77
Odisha,District_41,Rabi,Pulses,Loamy,1469.3,21.2,49.5,94.9,6.7,Sprinkler,Rice,High,1.16
Meghalaya,District_31,Zaid,Pulses,Sandy,537.9,21.7,53.2,86.7,7.1,Sprinkler,Wheat,Low,1.23
Gujarat,District_46,Rabi,Pulses,Loamy,924.5,37.1,56.5,212.1,5.3,Drip,Maize,Medium,0.99
Odisha,District_35,Zaid,Maize,Red,1156.3,38.0,54.7,,5.4,Drip,Maize,Low,2.15
Assam,District_36,Zaid,Maize,Loamy,2393.5,21.8,87.3,138.3,7.5,Tubewell,Maize,Medium,2.39
Rajasthan,District_22,Zaid,Pulses,Black,936.6,20.9,62.1,138.7,5.3,Tubewell,Maize,Low,1.18
Punjab,District_6,Rabi,Wheat,Black,606.0,33.7,68.0,291.6,6.0,Drip,Wheat,High,3.01
Gujarat,District_27,Kharif,Cotton,Black,451.1,32.0,76.9,214.8,,Drip,Cotton,Low,2.27
Tamil Nadu,District_40,Rabi,Wheat,Black,2190.3,22.6,86.9,132.5,7.0,Canal,Rice,Low,2.73
Gujarat,District_50,Rabi,Wheat,Black,460.8,35.7,45.8,137.4,6.9,Drip,Maize,Medium,2.77
Meghalaya,District_31,Rabi,Pulses,Loamy,1020.0,32.2,45.3,87.5,6.1,Rainfed,Cotton,Medium,0.99
Punjab,District_50,Zaid,Pulses,Black,1045.2,29.0,59.3,231.1,6.2,Tubewell,Rice,Medium,1.04
Tamil Nadu,District_28,Kharif,Rice,Alluvial,562.7,24.7,55.6,126.2,7.2,Tubewell,Cotton,High,3.33
Haryana,District_21,Kharif,Rice,Black,782.3,20.9,54.0,179.5,6.5,Sprinkler,Cotton,Low,3.86
Punjab,District_32,Zaid,Pulses,Loamy,1499.8,34.1,56.4,288.8,5.7,Canal,Sugarcane,Low,1.44
Assam,District_1,Zaid,Pulses,Red,1350.3,37.8,46.6,124.4,5.6,Sprinkler,Cotton,Medium,1.3
Haryana,District_37,Zaid,Maize,Sandy,1252.1,20.9,74.0,173.2,7.5,Rainfed,Wheat,Low,2.52
Tamil Nadu,District_29,Kharif,Rice,Red,719.0,18.4,89.8,239.0,6.2,Drip,Maize,Low,3.91
West Bengal,District_39,Rabi,Pulses,Sandy,1912.7,30.8,77.5,114.5,7.4,Sprinkler,Cotton,Medium,1.27
Haryana,District_35,Zaid,Maize,Red,1568.2,25.6,92.9,294.7,7.4,Sprinkler,Sugarcane,High,2.31
Haryana,District_3,Zaid,Pulses,Alluvial,1164.9,32.9,86.5,302.3,6.5,Sprinkler,Maize,High,1.02
Tamil Nadu,District_45,Kharif,Maize,Alluvial,1358.3,27.6,64.2,123.2,5.4,Tubewell,Sugarcane,Low,2.7
Manipur,District_39,Zaid,Maize,Sandy,,21.2,81.3,122.8,7.1,Sprinkler,Rice,Medium,2.34
Rajasthan,District_31,Rabi,Pulses,Red,40.6,20.3,67.7,139.3,,Tubewell,Rice,Low,1.12
Meghalaya,District_1,Zaid,Pulses,Red,1408.8,20.0,73.0,91.2,5.3,Sprinkler,Cotton,Medium,1.1
Karnataka,District_47,Kharif,Cotton,Red,2433.4,21.4,46.7,137.0,6.8,Sprinkler,Pulses,Medium,1.82
Punjab,District_23,Zaid,Maize,Black,422.1,17.9,76.9,288.9,6.7,Canal,Sugarcane,Low,2.62
Assam,District_10,Rabi,Wheat,Alluvial,545.0,17.3,56.9,130.2,5.3,Sprinkler,Pulses,Medium,2.82
Punjab,District_22,Kharif,Maize,Black,576.3,36.4,66.1,189.3,5.3,Drip,Rice,Low,2.32
Rajasthan,District_7,Kharif,Maize,Black,414.2,22.1,58.8,131.0,7.1,Drip,Pulses,Low,3.05
Tamil Nadu,District_27,Zaid,Maize,Red,2101.4,28.7,55.8,212.2,5.7,Rainfed,Cotton,Medium,2.18
Haryana,District_49,Rabi,Pulses,Loamy,950.2,20.3,49.6,206.8,6.2,Canal,Maize,Medium,1.09
Uttar Pradesh,District_26,Zaid,Pulses,Loamy,490.5,37.2,53.3,245.2,5.8,Tubewell,Cotton,Medium,1.18
Maharashtra,District_21,Zaid,Pulses,Alluvial,1445.3,37.6,70.9,143.7,6.7,Tubewell,Sugarcane,High,1.23
Karnataka,District_48,Zaid,Maize,Loamy,1830.7,32.5,92.1,192.8,6.6,Sprinkler,Maize,Medium,3.27
Odisha,District_24,Kharif,Maize,Alluvial,445.3,31.8,72.2,171.4,7.2,Canal,Cotton,Low,3.07
Manipur,District_1,Zaid,Maize,Alluvial,1131.3,23.6,83.6,61.4,5.9,Sprinkler,Maize,High,2.27
Rajasthan,District_8,Zaid,Pulses,Loamy,208.6,25.0,62.4,88.6,6.4,Canal,Cotton,High,0.79
Uttar Pradesh,District_12,Kharif,Cotton,Sandy,1959.5,29.3,76.9,156.7,6.9,Drip,Maize,Low,2.07
Meghalaya,District_22,Rabi,Wheat,Loamy,612.9,25.5,92.3,120.7,6.8,Rainfed,Wheat,Low,3.39
Tamil Nadu,District_33,Rabi,Wheat,Sandy,3141.5,33.3,59.2,143.8,5.4,Rainfed,Sugarcane,Medium,2.11
Manipur,District_10,Zaid,Maize,Sandy,716.4,27.3,91.9,137.5,5.9,Sprinkler,Sugarcane,Low,2.97
West Bengal,District_5,Zaid,Maize,Black,1281.75,28.3,67.0,287.46,6.9,Drip,Cotton,Low,2.43
Odisha,District_13,Kharif,Maize,Black,1930.8,19.4,66.8,192.5,5.5,Tubewell,Sugarcane,Low,2.66
Uttar Pradesh,District_19,Rabi,Wheat,Sandy,1160.9,26.3,89.7,227.4,6.8,Rainfed,Cotton,Medium,2.9
Gujarat,District_22,Rabi,Wheat,Alluvial,860.8,26.8,79.5,139.7,7.3,Sprinkler,Wheat,Low,3.24
Haryana,District_24,Rabi,Wheat,loamy,631.3,31.4,69.1,,7.2,Tubewell,Rice,Low,3.3
Manipur,District_40,Rabi,Wheat,Sandy,1043.5,17.4,59.6,117.0,6.5,Canal,Rice,High,2.91
Manipur,District_39,Zaid,Pulses,Red,792.8,33.7,87.5,94.0,6.4,Drip,Rice,Medium,1.25
West Bengal,District_50,Zaid,Pulses,Sandy,,22.0,51.2,143.5,6.8,Tubewell,Rice,Medium,0.97
Odisha,District_16,Zaid,Maize,Alluvial,1174.1,22.3,69.2,114.0,6.0,Drip,Cotton,High,2.1
West Bengal,District_21,Zaid,Maize,Loamy,1001.7,23.0,89.6,135.6,5.7,Canal,Rice,Low,2.17
West Bengal,District_43,Kharif,Rice,Alluvial,1841.6,37.8,90.8,117.1,7.4,Rainfed,Maize,Low,3.69
Gujarat,District_43,Rabi,Pulses,Alluvial,1020.4,36.7,73.4,242.6,7.7,Rainfed,Sugarcane,Low,1.11
Meghalaya,District_20,Zaid,Maize,Alluvial,829.1,22.5,87.9,113.5,6.3,Tubewell,Maize,High,2.41
Assam,District_48,Rabi,Wheat,Sandy,568.9,15.2,53.4,140.3,5.6,Drip,Rice,Medium,2.46
Tamil Nadu,District_32,Kharif,Rice,Sandy,843.7,19.0,47.1,216.0,5.9,Canal,Wheat,Low,4.06
Manipur,District_20,Zaid,Pulses,Red,939.9,32.0,89.3,98.7,7.7,Rainfed,Sugarcane,Low,1.18
Assam,District_7,Kharif,Rice,Loamy,1535.4,27.0,46.7,131.3,6.9,Rainfed,Cotton,Low,4.19
Maharashtra,District_31,Kharif,Cotton,Loamy,1005.0,25.4,73.8,174.0,6.2,Drip,Maize,Low,1.99
Tamil Nadu,District_50,Rabi,Wheat,Black,1087.3,37.7,83.3,237.4,6.8,Canal,Wheat,High,2.44
Rajasthan,District_16,Zaid,Pulses,Sandy,206.1,28.6,72.2,140.6,7.1,Tubewell,Wheat,Medium,1.12
Rajasthan,District_19,Kharif,Cotton,Loamy,105.5,34.3,78.7,141.3,,Drip,Cotton,Low,1.92
Maharashtra,District_17,Zaid,Pulses,Black,989.6,37.3,57.3,221.7,5.5,Rainfed,Sugarcane,Medium,1.18
West Bengal,District_36,Rabi,Wheat,Red,1019.0,29.6,80.2,150.2,7.1,Rainfed,Sugarcane,Medium,2.46
Uttar Pradesh,District_40,Kharif,Maize,Black,735.6,23.3,77.6,241.3,7.6,Drip,Wheat,Medium,2.37
Odisha,District_19,Kharif,Cotton,Black,621.6,23.4,79.1,151.3,5.6,Drip,Maize,Low,1.82
Maharashtra,District_36,Rabi,Wheat,Alluvial,847.6,36.6,89.0,176.6,5.7,Canal,Sugarcane,High,2.47
Manipur,District_15,Zaid,Pulses,Alluvial,445.2,29.2,69.7,103.9,5.6,Tubewell,Wheat,Medium,1.04
Rajasthan,District_15,Kharif,Maize,Sandy,54.0,27.0,85.5,174.5,,Rainfed,Wheat,Low,2.26
West Bengal,District_26,Rabi,Pulses,Red,1034.2,28.7,63.2,107.8,5.3,Drip,Sugarcane,Low,1.01
Karnataka,District_46,Zaid,Maize,Sandy,2711.2,32.2,56.2,240.1,5.3,Canal,Cotton,Low,2.57
Maharashtra,District_23,Kharif,Cotton,Red,1692.6,18.3,47.4,172.0,6.5,Sprinkler,Wheat,Low,1.95
Meghalaya,District_14,Kharif,Rice,Alluvial,2281.4,23.2,73.4,128.1,6.3,Canal,Cotton,Medium,3.86
Tamil Nadu,District_46,Zaid,Maize,Black,859.1,35.9,66.1,125.4,6.8,Canal,Rice,Low,2.64
Punjab,District_41,Kharif,Cotton,Alluvial,1639.2,17.4,92.5,210.5,6.5,Sprinkler,Maize,Low,2.18
Assam,District_38,Rabi,Wheat,Black,1616.5,28.7,50.6,159.2,6.3,Drip,Wheat,Medium,3.15
Gujarat,District_41,Kharif,Cotton,Sandy,427.8,15.8,92.6,142.2,5.2,Drip,Sugarcane,Medium,1.8
Karnataka,District_14,Rabi,Wheat,Sandy,1717.2,15.0,45.9,133.9,6.8,Drip,Sugarcane,Low,3.13
Karnataka,District_17,Kharif,Rice,Sandy,634.0,35.7,51.3,,5.8,Drip,Cotton,Low,3.99
Manipur,District_48,Rabi,Wheat,Loamy,1200.3,31.8,63.4,94.8,6.2,Sprinkler,Cotton,Low,3.3
Uttar Pradesh,District_50,Rabi,Wheat,Sandy,1282.6,22.7,49.6,263.5,7.8,Sprinkler,Sugarcane,Medium,3.08
Meghalaya,District_27,Kharif,Rice,Black,1434.8,37.4,80.5,133.8,5.6,Rainfed,Rice,Low,4.45
Uttar Pradesh,District_17,Rabi,Wheat,Alluvial,559.7,23.6,90.8,168.8,5.3,Rainfed,Wheat,High,2.63
Maharashtra,District_20,Kharif,Maize,Alluvial,1010.6,18.8,55.6,191.7,5.3,Tubewell,Cotton,Medium,2.46
Gujarat,District_49,Zaid,Pulses,Red,1231.7,26.8,69.9,219.5,5.3,Canal,Rice,Low,1.6
Manipur,District_19,Zaid,Pulses,Loamy,1917.9,29.7,62.1,114.0,6.0,Rainfed,Wheat,Low,1.39
Meghalaya,District_42,Kharif,Rice,Red,943.8,19.0,94.0,89.0,,Rainfed,Wheat,Low,3.66
West Bengal,District_12,Rabi,Pulses,Red,871.4,33.7,56.2,197.3,7.1,Rainfed,Sugarcane,High,1.08
Tamil Nadu,District_7,Zaid,Maize,Sandy,1354.1,19.2,68.8,211.8,5.8,Rainfed,Maize,Medium,2.64
Gujarat,District_43,Rabi,Pulses,Alluvial,1465.3,17.4,72.7,233.4,6.6,Drip,Rice,Low,1.57
Punjab,District_44,Zaid,Pulses,Sandy,1175.1,20.7,70.5,187.9,7.6,Sprinkler,Cotton,Low,1.31
Tamil Nadu,District_11,Zaid,Pulses,Loamy,822.9,37.1,70.8,205.7,7.6,Sprinkler,Wheat,Low,1.1
West Bengal,District_7,Zaid,Pulses,Red,1063.8,24.1,51.7,107.0,7.5,Canal,Maize,Medium,1.2
Maharashtra,District_37,Rabi,Pulses,Red,1366.1,37.3,89.1,190.3,7.7,Sprinkler,Wheat,Medium,1.35
Assam,District_16,Zaid,Pulses,Black,1133.5,23.4,65.5,144.3,5.3,Tubewell,Maize,Low,1.24
Manipur,District_48,Kharif,Rice,Red,1596.0,23.9,68.2,134.3,5.4,Canal,Sugarcane,Low,3.98
Gujarat,District_47,Rabi,Pulses,Black,2901.3,28.9,49.7,266.8,5.9,Tubewell,Cotton,Low,1.17
Karnataka,District_20,Rabi,Pulses,Red,1276.8,26.1,78.8,238.1,6.3,Rainfed,Wheat,Medium,1.42
Karnataka,District_29,Rabi,Wheat,Red,746.3,27.9,53.0,118.3,,Drip,Rice,Low,2.38
Odisha,District_20,Rabi,Wheat,Red,647.5,20.0,72.2,185.6,7.1,Rainfed,Pulses,Low,2.94
Manipur,District_38,Rabi,Wheat,Alluvial,1009.2,15.1,92.7,78.5,6.5,Drip,Rice,Low,3.04
Rajasthan,District_2,Rabi,Pulses,Loamy,194.0,28.1,86.7,105.2,7.2,Drip,Maize,Low,1.04
Meghalaya,District_33,Zaid,Maize,Red,597.8,16.6,65.0,,7.4,Canal,Wheat,Low,2.96
Odisha,District_30,Zaid,Pulses,Black,1575.4,31.9,88.2,149.2,5.7,Tubewell,Cotton,Medium,1.22
Punjab,District_25,Rabi,Wheat,Alluvial,1564.7,33.6,78.5,201.3,7.6,Canal,Maize,Low,3.35
Meghalaya,District_13,Zaid,Maize,Black,1888.0,22.6,91.0,103.0,6.6,Sprinkler,Rice,Low,2.69
Punjab,District_25,Rabi,Wheat,Red,2287.2,32.8,82.9,,,Sprinkler,Cotton,Low,3.0
Tamil Nadu,District_31,Rabi,Pulses,Loamy,2987.3,18.4,84.5,141.2,5.5,Sprinkler,Pulses,Low,1.12
Rajasthan,District_37,Rabi,Pulses,Alluvial,262.7,35.9,79.5,144.4,5.6,Sprinkler,Sugarcane,Medium,0.97
West Bengal,District_38,Rabi,Pulses,Alluvial,1378.2,26.8,72.2,122.4,5.8,Canal,Rice,Low,1.29
Punjab,District_48,Zaid,Maize,Sandy,1135.5,18.9,84.8,283.5,5.7,Sprinkler,Wheat,Medium,2.46
Maharashtra,District_38,Zaid,Pulses,Black,,29.1,76.0,129.7,7.0,Tubewell,Rice,Medium,1.24
Gujarat,District_10,Kharif,Rice,Alluvial,1011.6,31.5,62.8,183.3,5.2,Tubewell,Sugarcane,Low,3.34
Rajasthan,District_47,Kharif,Cotton,Loamy,182.8,19.5,92.6,177.5,6.1,Tubewell,Pulses,High,1.54
Gujarat,District_25,Kharif,Cotton,Alluvial,1660.4,19.1,77.0,263.8,5.7,Drip,Maize,High,1.86
Odisha,District_34,Kharif,Cotton,Sandy,,25.2,55.5,93.1,6.1,Sprinkler,Rice,Medium,1.71
Assam,District_8,Zaid,Pulses,Black,1780.8,19.3,80.3,104.0,5.4,Drip,Wheat,Low,1.36
Karnataka,District_11,Zaid,Pulses,Sandy,651.8,32.6,90.4,182.8,5.6,Canal,Pulses,Medium,1.08
Haryana,District_39,Rabi,Wheat,Loamy,1097.6,36.3,94.2,306.4,5.8,Tubewell,Pulses,Low,2.87
Assam,District_20,Kharif,Rice,Black,1807.2,24.2,77.8,73.9,6.7,Canal,Wheat,Low,4.04
Tamil Nadu,District_10,Rabi,Wheat,Sandy,1782.9,21.9,53.8,130.2,6.3,Sprinkler,Sugarcane,Medium,2.94
Rajasthan,District_44,Zaid,Pulses,Red,143.9,23.4,84.8,164.4,5.3,Canal,Cotton,Medium,0.87
Haryana,District_18,Zaid,Maize,Alluvial,2536.3,30.9,93.9,185.8,7.1,Drip,Rice,Low,2.58
Assam,District_5,Kharif,Rice,Loamy,1351.6,32.1,52.7,122.6,6.2,Canal,Sugarcane,Medium,4.04
Maharashtra,District_39,Zaid,Maize,Alluvial,1638.0,15.8,63.4,193.9,5.4,Drip,Pulses,Medium,2.67
Rajasthan,District_17,Zaid,Pulses,Red,204.7,31.9,83.7,145.5,6.8,Tubewell,Maize,Low,1.36
Maharashtra,District_8,Rabi,Pulses,Alluvial,1246.1,26.4,82.8,155.9,5.3,Rainfed,Rice,Low,1.34
Tamil Nadu,District_13,Rabi,Pulses,Loamy,1523.1,18.5,88.7,165.1,5.3,Drip,Cotton,Medium,1.16
Maharashtra,District_30,Kharif,Cotton,Black,508.9,20.3,93.6,225.1,7.0,Sprinkler,Rice,Medium,2.34
West Bengal,District_19,Rabi,Pulses,Red,1429.8,35.9,85.2,213.1,5.5,Rainfed,Cotton,Low,1.4
Maharashtra,District_48,Zaid,Pulses,Alluvial,1581.4,35.8,45.2,201.3,7.0,Canal,Sugarcane,High,1.22
Meghalaya,District_29,Rabi,Pulses,Loamy,2063.0,32.6,70.6,108.5,,Tubewell,Pulses,High,1.16
Meghalaya,District_8,Zaid,Maize,Alluvial,1333.5,28.0,52.1,136.2,6.2,Canal,Wheat,Medium,2.34
Gujarat,District_14,Kharif,Cotton,Loamy,1390.4,27.0,70.7,267.3,6.6,Rainfed,Maize,Low,2.53
Karnataka,District_34,Zaid,Pulses,Sandy,1476.1,21.3,88.2,190.7,7.6,Sprinkler,Pulses,Medium,1.19
Haryana,District_47,Kharif,Maize,Red,1283.4,20.2,69.6,195.0,7.5,Sprinkler,Cotton,Medium,2.6
Gujarat,District_1,Zaid,Pulses,Loamy,1516.5,31.1,82.5,179.4,6.1,Sprinkler,Pulses,Low,1.28
Meghalaya,District_28,Zaid,Maize,Alluvial,1046.4,21.2,58.4,71.3,6.4,Canal,Sugarcane,Low,2.26
Meghalaya,District_15,Kharif,Rice,Black,942.5,16.4,61.7,78.2,6.5,Drip,Maize,Medium,3.16
Odisha,District_43,Zaid,Maize,Red,418.3,30.6,67.2,100.0,5.2,Tubewell,Wheat,Medium,1.96
Punjab,District_35,Zaid,Maize,Black,1562.4,16.9,72.7,247.6,7.2,Rainfed,Rice,Low,2.73
Odisha,District_35,Rabi,Pulses,Sandy,1589.9,19.2,52.1,100.2,5.9,Rainfed,Sugarcane,Low,1.16
Rajasthan,District_35,Kharif,Cotton,Red,202.9,29.9,52.9,130.2,7.6,Drip,Maize,High,1.41
Gujarat,District_20,Zaid,Maize,Red,632.2,36.9,76.8,165.8,7.1,Sprinkler,Wheat,High,2.05
West Bengal,District_43,Zaid,Pulses,Loamy,877.1,36.7,56.4,180.7,6.5,Rainfed,Rice,Medium,1.23
Gujarat,District_45,Rabi,Pulses,Alluvial,712.8,35.5,45.8,180.6,6.2,Rainfed,Pulses,High,1.13
Haryana,District_34,Kharif,Maize,Black,2502.0,37.3,89.4,208.1,6.0,Rainfed,Sugarcane,High,2.29
Karnataka,District_17,Rabi,Pulses,Red,845.3,17.2,49.4,133.6,6.6,Drip,Maize,High,1.11
Gujarat,District_45,Kharif,Cotton,Black,874.0,23.0,55.7,150.1,6.6,Canal,Maize,High,1.77
Gujarat,District_24,Rabi,Wheat,Sandy,1096.7,26.5,52.6,168.5,7.1,Tubewell,Maize,Low,2.73
Manipur,District_11,Rabi,Wheat,Black,888.1,29.6,76.3,66.5,6.3,Drip,Cotton,Medium,2.88
Karnataka,District_38,Kharif,Rice,Alluvial,460.1,30.6,74.6,163.6,6.3,Sprinkler,Sugarcane,Low,3.25
Manipur,District_47,Kharif,Rice,Red,976.1,24.6,80.6,96.5,6.6,Sprinkler,Wheat,High,3.5
Punjab,District_26,Rabi,Wheat,Sandy,969.8,16.5,57.0,281.4,5.9,Canal,Cotton,Low,3.07
Manipur,District_42,Zaid,Maize,Black,1854.8,19.9,80.3,126.5,7.6,Tubewell,Sugarcane,Medium,2.95
Gujarat,District_36,Zaid,Pulses,Sandy,797.0,29.1,72.0,212.4,5.4,Sprinkler,Cotton,High,1.01
Rajasthan,District_2,Zaid,Maize,Loamy,113.9,37.5,92.0,126.6,6.9,Drip,Rice,High,1.83
Punjab,District_12,Kharif,Rice,Loamy,1436.4,17.0,49.4,183.2,6.5,Sprinkler,Pulses,High,3.52
Assam,District_18,Kharif,Rice,Black,1512.1,19.5,70.1,119.9,6.3,Canal,Maize,Low,4.4
Punjab,District_37,Zaid,Pulses,Red,1235.2,33.6,60.9,258.3,7.0,Rainfed,Pulses,High,1.42
West Bengal,District_2,Kharif,Rice,Black,1157.2,29.5,51.6,145.3,6.7,Canal,Maize,Low,3.7
Karnataka,District_50,Rabi,Wheat,Red,2596.4,27.4,91.4,137.3,6.8,Sprinkler,Rice,High,2.47
Assam,District_2,Rabi,Wheat,Loamy,,17.9,92.4,66.2,5.4,Rainfed,Pulses,Low,3.23
West Bengal,District_25,Kharif,Maize,Black,476.8,17.2,87.8,121.7,7.7,Canal,Cotton,Low,2.11
Assam,District_37,Kharif,Rice,Red,595.1,16.5,69.9,145.7,5.4,Canal,Pulses,Low,3.45
Rajasthan,District_6,Zaid,Maize,Loamy,201.6,21.9,47.4,116.4,6.2,Drip,Wheat,Low,2.39
Meghalaya,District_20,Rabi,Wheat,Alluvial,490.9,18.1,57.4,135.3,,Canal,Sugarcane,Low,3.62
West Bengal,District_37,Zaid,Pulses,Sandy,1206.4,30.5,49.2,199.1,6.7,Tubewell,Maize,Low,1.55
Maharashtra,District_42,Zaid,Maize,Sandy,1113.0,17.7,54.8,221.1,6.2,Canal,Cotton,Low,1.9
Manipur,District_14,Kharif,Rice,Alluvial,1328.5,30.5,57.3,68.1,5.7,Canal,Wheat,Low,3.24
Punjab,District_28,Kharif,Maize,Red,1489.4,36.3,62.8,297.3,5.5,Sprinkler,Wheat,High,1.83
West Bengal,District_7,Rabi,Pulses,Alluvial,539.5,33.5,82.3,161.2,6.3,Drip,Maize,High,1.19
Punjab,District_41,Kharif,Maize,Black,629.3,17.9,58.2,306.3,5.7,Canal,Cotton,Medium,2.25
Punjab,District_50,Kharif,Maize,Loamy,,16.7,89.9,228.6,6.8,Rainfed,Cotton,Low,2.89
West Bengal,District_41,Kharif,Rice,Red,2294.1,16.4,83.7,178.7,6.2,Tubewell,Pulses,Low,3.45
West Bengal,District_46,Zaid,Maize,Loamy,,35.6,82.9,192.4,6.1,Canal,Rice,Low,3.01
Maharashtra,District_22,Rabi,Wheat,Red,810.8,28.6,55.0,130.0,6.2,Drip,Maize,Low,3.18
Meghalaya,District_25,Zaid,Pulses,Red,512.7,17.3,76.6,127.9,6.6,Canal,Wheat,Medium,1.28
Tamil Nadu,District_44,Kharif,Rice,Alluvial,1455.2,34.2,75.6,233.4,6.0,Sprinkler,Pulses,Low,4.69
Haryana,District_8,Rabi,Wheat,Sandy,,29.7,63.0,290.3,5.8,Canal,Pulses,Low,3.2
Uttar Pradesh,District_47,Rabi,Wheat,Red,867.1,26.1,49.4,173.0,5.4,Canal,Maize,Low,2.59
Odisha,District_42,Zaid,Maize,Black,2433.8,15.9,81.2,99.4,6.6,Drip,Sugarcane,High,2.67
Maharashtra,District_12,Rabi,Wheat,Loamy,1466.5,28.9,57.2,259.9,6.7,Drip,Sugarcane,Medium,3.6
Assam,District_22,Kharif,Cotton,Sandy,1166.7,33.6,56.3,149.8,6.5,Rainfed,Cotton,Medium,1.97
Meghalaya,District_46,Rabi,Wheat,Red,3228.7,16.4,54.2,124.4,,Rainfed,Sugarcane,Low,3.05
West Bengal,District_19,Zaid,Maize,Red,1140.3,19.0,77.3,141.2,6.1,Canal,Pulses,Low,2.19
