State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Soil_N,Soil_P,Soil_K,Irrigation_Frequency,Yield_tonnes_per_hectare
Assam,District_42,Zaid,Pulses,Loamy,1647.1,36.1,43.2,100.2,6.3,Canal,Maize,High,105.9,53.4,62.7,9,1.23
Karnataka,District_12,Zaid,Rice,Sandy,780.6,30.7,89.5,144.1,5.3,Drip,Maize,Medium,53.7,31.2,52.1,7,2.5
Uttar Pradesh,District_28,Rabi,Rice,Sandy,1667.9,17.9,91.3,213.2,5.3,Canal,Pulses,Medium,149.4,55.8,147.0,9,3.26
Uttar Pradesh,District_16,Kharif,Rice,Loamy,1655.2,34.1,89.6,257.9,5.6,Canal,Cotton,Medium,199.9,73.8,96.2,8,3.79
Manipur,District_3,Zaid,Pulses,Black,359.6,34.6,41.5,84.7,5.5,Rainfed,Wheat,Medium,129.2,69.6,84.4,2,0.94
West Bengal,District_15,Zaid,Maize,Sandy,692.1,18.7,82.9,222.0,6.0,Drip,Pulses,Medium,132.0,55.6,54.1,9,2.45
Haryana,District_48,Kharif,Rice,Black,2248.4,30.7,64.4,269.8,7.1,Sprinkler,Sugarcane,Low,103.9,77.9,94.5,7,3.75
Punjab,District_28,Rabi,Cotton,Red,880.3,20.7,51.5,61.0,7.2,Canal,Pulses,High,61.5,55.9,86.0,4,1.71
Tamil Nadu,District_27,Rabi,Pulses,Sandy,1353.9,26.4,79.8,292.7,6.1,Drip,Rice,Low,125.6,61.2,149.1,5,1.45
Assam,District_5,Zaid,Cotton,Loamy,2029.2,18.7,85.1,198.3,5.4,Canal,Maize,Low,147.3,54.0,129.3,7,1.95
Rajasthan,District_16,Rabi,Maize,Loamy,951.5,37.8,54.8,243.0,5.4,Tubewell,Rice,High,120.1,24.7,92.3,9,2.26
Punjab,District_43,Kharif,Wheat,Sandy,1444.1,29.8,85.8,228.2,5.4,Tubewell,Cotton,Low,164.3,34.3,66.0,2,3.02
Rajasthan,District_31,Rabi,Sugarcane,Sandy,833.5,15.5,66.0,244.5,7.4,Canal,Pulses,Medium,173.1,53.3,120.3,5,65.86
Uttar Pradesh,District_3,Rabi,Sugarcane,Alluvial,1304.5,18.8,48.6,124.9,6.4,Tubewell,Wheat,High,181.4,27.2,140.7,6,54.12
Uttar Pradesh,District_24,Kharif,Maize,Loamy,983.9,17.1,53.4,170.3,7.6,Canal,Sugarcane,Low,180.8,77.5,42.7,6,2.48
Manipur,District_18,Kharif,Rice,Sandy,1439.2,18.6,62.9,132.6,5.4,Sprinkler,Sugarcane,High,195.1,41.2,116.0,7,2.86
Punjab,District_31,Kharif,Maize,Red,2920.2,32.8,93.2,273.3,7.3,Tubewell,Wheat,Low,154.2,65.9,53.3,2,2.79
Rajasthan,District_7,Rabi,Cotton,Loamy,1201.2,18.3,48.6,106.4,6.9,Tubewell,Cotton,Low,66.1,82.3,46.4,5,1.85
Tamil Nadu,District_10,Zaid,Pulses,Sandy,587.7,37.2,50.4,287.2,7.0,Tubewell,Sugarcane,Low,111.3,79.2,139.0,1,1.3
Uttar Pradesh,District_37,Rabi,Rice,Sandy,909.7,26.5,79.0,240.3,5.4,Tubewell,Wheat,Low,101.0,43.1,51.5,6,3.3
Rajasthan,District_17,Zaid,Cotton,Red,1002.4,37.5,43.7,61.5,7.4,Drip,Rice,Low,65.3,26.5,140.1,8,2.41
Manipur,District_2,Kharif,Cotton,Red,330.5,33.9,80.5,196.6,6.9,Tubewell,Pulses,Medium,161.9,30.7,62.1,3,2.13
Meghalaya,District_15,Rabi,Maize,Loamy,1572.0,32.7,42.4,274.8,7.5,Tubewell,Cotton,High,129.8,39.9,105.1,7,2.53
Karnataka,District_39,Rabi,Sugarcane,Black,1139.9,33.6,90.1,77.5,7.2,Sprinkler,Maize,Low,88.3,34.0,106.1,6,68.35
Gujarat,District_27,Rabi,Rice,Sandy,1161.2,36.2,71.1,262.4,5.5,Canal,Sugarcane,Low,68.5,29.6,93.8,8,3.97
Haryana,District_18,Kharif,Pulses,Alluvial,1269.9,19.9,91.2,186.7,7.1,Drip,Maize,Medium,183.6,99.2,95.7,1,1.28
Gujarat,District_39,Rabi,Pulses,Red,3577.3,26.1,63.2,233.7,5.8,Rainfed,Maize,High,142.5,77.0,138.1,6,1.25
Gujarat,District_38,Rabi,Sugarcane,Loamy,1396.9,24.3,92.4,221.0,6.0,Sprinkler,Pulses,High,110.6,69.4,65.8,7,64.01
Karnataka,District_31,Zaid,Sugarcane,Sandy,476.0,34.8,80.4,251.7,7.6,Rainfed,Rice,Low,139.7,87.7,65.5,3,60.84
Meghalaya,District_40,Rabi,Cotton,Sandy,845.9,30.0,78.5,142.8,6.4,Canal,Maize,High,110.6,95.8,75.2,7,1.8
Rajasthan,District_33,Rabi,Maize,Red,693.4,35.5,62.5,207.3,5.7,Tubewell,Maize,High,71.8,83.9,87.3,3,2.31
Odisha,District_20,Zaid,Wheat,Black,1149.5,21.5,84.0,65.3,7.0,Tubewell,Maize,Medium,161.8,58.2,57.8,8,3.01
Tamil Nadu,District_39,Rabi,Pulses,Red,2249.0,31.0,61.4,211.9,6.8,Drip,Pulses,Medium,122.1,95.6,42.5,2,1.51
Rajasthan,District_19,Zaid,Wheat,Black,753.4,15.2,55.7,105.4,5.6,Tubewell,Pulses,High,159.3,39.2,92.2,8,2.29
Rajasthan,District_21,Zaid,Maize,Sandy,2190.5,20.2,50.7,240.4,6.4,Tubewell,Cotton,High,74.0,40.5,95.4,5,2.7
Karnataka,District_47,Kharif,Sugarcane,Alluvial,821.1,17.3,68.7,201.3,7.1,Rainfed,Pulses,High,88.9,87.3,144.8,5,60.82
West Bengal,District_42,Zaid,Wheat,Red,1118.0,34.7,58.1,230.9,6.9,Drip,Maize,Low,135.7,62.3,100.6,7,3.86
West Bengal,District_30,Rabi,Cotton,Red,1177.4,24.5,44.9,87.2,7.6,Sprinkler,Maize,High,116.9,75.1,55.3,1,1.71
Uttar Pradesh,District_8,Zaid,Maize,Alluvial,1733.8,37.8,67.1,174.2,6.8,Drip,Sugarcane,Medium,51.2,65.5,109.2,6,3.05
Maharashtra,District_32,Kharif,Rice,Black,563.0,28.0,61.8,124.4,7.6,Drip,Sugarcane,Medium,152.3,73.2,86.9,8,2.67
Karnataka,District_13,Zaid,Maize,Sandy,1771.5,24.9,40.4,253.8,5.5,Rainfed,Rice,Medium,126.5,46.9,77.6,4,2.15
Maharashtra,District_31,Rabi,Pulses,Sandy,1643.0,23.7,73.7,177.7,6.9,Drip,Cotton,Low,55.9,28.5,147.4,3,1.41
Odisha,District_24,Kharif,Rice,Black,1142.4,22.1,64.7,128.2,7.1,Canal,Rice,Low,122.9,30.6,51.5,8,4.47
Haryana,District_18,Kharif,Maize,Sandy,1242.2,15.2,81.6,268.8,5.7,Tubewell,Rice,High,54.3,33.2,138.5,1,2.11
Meghalaya,District_43,Rabi,Pulses,Black,708.9,34.6,58.0,76.5,7.8,Sprinkler,Rice,Low,152.1,94.1,77.6,4,1.15
Punjab,District_18,Rabi,Rice,Sandy,1328.9,17.5,74.7,140.7,7.3,Rainfed,Cotton,High,163.1,91.4,77.8,1,3.89
West Bengal,District_37,Kharif,Wheat,Sandy,2003.4,34.6,61.4,183.9,5.2,Rainfed,Sugarcane,High,168.4,40.8,129.8,6,3.14
Odisha,District_38,Kharif,Wheat,Alluvial,948.0,29.8,88.4,252.6,7.8,Rainfed,Wheat,High,183.4,35.7,46.3,1,2.48
Uttar Pradesh,District_2,Kharif,Cotton,Sandy,582.8,16.4,61.9,132.6,5.8,Tubewell,Rice,High,140.7,67.1,109.4,6,1.76
Karnataka,District_8,Zaid,Pulses,Red,885.5,15.7,85.1,171.9,6.8,Canal,Wheat,Medium,100.4,23.7,80.7,4,1.2
Maharashtra,District_11,Kharif,Wheat,Loamy,761.8,37.8,94.2,105.6,6.8,Tubewell,Wheat,High,130.3,32.3,58.5,5,2.34
Assam,District_20,Kharif,Rice,Black,1025.3,21.2,68.1,140.5,6.4,Drip,Sugarcane,High,75.0,46.1,47.7,4,3.49
Karnataka,District_7,Rabi,Cotton,Black,1082.1,34.1,57.5,293.1,5.4,Canal,Cotton,Low,137.8,83.2,129.5,7,2.47
Meghalaya,District_25,Rabi,Cotton,Black,498.8,30.1,60.8,144.2,5.5,Sprinkler,Cotton,High,55.9,86.8,93.8,4,1.44
Punjab,District_32,Rabi,Sugarcane,Black,1279.8,22.4,72.8,126.5,7.1,Drip,Sugarcane,High,158.5,64.2,66.5,2,62.54
Odisha,District_40,Kharif,Maize,Loamy,1695.4,30.4,79.9,254.2,6.2,Drip,Cotton,High,161.9,28.0,136.4,8,2.68
Karnataka,District_5,Rabi,Wheat,Black,1911.6,20.2,92.7,81.1,5.2,Sprinkler,Pulses,High,150.9,69.2,121.1,2,2.82
Rajasthan,District_14,Kharif,Cotton,Loamy,1527.0,23.7,43.5,297.1,6.8,Rainfed,Maize,Low,192.0,28.3,77.6,1,2.77
Maharashtra,District_25,Kharif,Maize,Red,676.1,23.7,71.1,110.5,6.6,Sprinkler,Cotton,Low,169.8,80.7,79.4,9,2.51
Punjab,District_45,Zaid,Pulses,Black,957.0,36.2,75.3,155.7,5.9,Canal,Cotton,High,185.8,21.3,76.0,4,1.07
Meghalaya,District_24,Rabi,Rice,Sandy,1538.5,24.4,82.5,117.8,7.7,Drip,Rice,Medium,126.6,42.6,71.3,3,3.3
Gujarat,District_6,Zaid,Cotton,Loamy,1177.7,15.1,72.9,181.9,6.4,Drip,Maize,Medium,59.3,56.4,71.6,9,2.19
Odisha,District_31,Rabi,Wheat,Red,535.0,15.6,49.1,246.6,5.5,Tubewell,Wheat,Medium,90.7,56.4,143.7,3,2.76
West Bengal,District_34,Zaid,Sugarcane,Sandy,1392.3,30.9,51.3,141.4,5.8,Tubewell,Rice,High,86.7,20.4,136.9,6,48.0
Maharashtra,District_46,Kharif,Maize,Black,1002.6,15.0,40.1,284.7,7.6,Tubewell,Rice,Low,150.1,78.1,96.5,9,2.87
Karnataka,District_6,Zaid,Pulses,Alluvial,793.9,17.6,93.6,226.4,5.9,Sprinkler,Maize,Medium,118.4,43.8,56.5,2,1.33
Gujarat,District_18,Rabi,Wheat,Black,1282.3,23.0,65.7,214.7,7.2,Tubewell,Wheat,Medium,99.0,66.9,82.8,7,3.57
Maharashtra,District_15,Kharif,Maize,Sandy,584.6,27.5,59.4,264.1,7.0,Canal,Sugarcane,Low,90.7,60.1,57.2,1,2.84
Punjab,District_36,Zaid,Sugarcane,Black,1330.9,29.8,92.2,152.1,7.4,Drip,Cotton,Medium,188.2,59.3,120.2,4,68.35
Uttar Pradesh,District_46,Kharif,Wheat,Black,563.2,25.5,88.0,80.6,5.3,Canal,Rice,High,141.0,46.5,86.0,6,1.95
Manipur,District_8,Rabi,Rice,Black,721.8,25.1,40.3,116.8,5.8,Drip,Sugarcane,High,102.4,34.0,47.5,1,2.9
Manipur,District_35,Zaid,Maize,Black,1616.8,19.0,65.6,215.5,6.8,Tubewell,Wheat,Low,60.6,25.2,146.2,4,3.15
Manipur,District_33,Rabi,Rice,Black,945.7,22.6,57.4,252.4,6.3,Canal,Sugarcane,Medium,141.7,52.4,100.7,4,3.47
Tamil Nadu,District_4,Rabi,Rice,Black,660.6,20.2,72.4,96.8,5.5,Drip,Wheat,Low,128.5,74.0,52.5,4,2.88
Uttar Pradesh,District_18,Zaid,Wheat,Red,944.7,36.8,86.6,202.2,6.2,Drip,Wheat,High,89.6,65.7,98.6,1,2.6
Gujarat,District_16,Zaid,Wheat,Alluvial,702.9,21.7,68.4,220.6,7.2,Tubewell,Pulses,High,156.5,36.4,52.7,1,2.6
Karnataka,District_1,Kharif,Rice,Loamy,1418.8,16.1,62.7,254.1,6.5,Rainfed,Cotton,Low,104.9,28.7,45.7,6,4.23
Tamil Nadu,District_35,Zaid,Cotton,Loamy,2632.1,23.5,54.9,287.1,6.0,Drip,Sugarcane,High,59.5,33.4,134.3,4,1.92
Gujarat,District_37,Zaid,Pulses,Red,3411.4,36.5,52.1,254.4,7.4,Drip,Maize,High,58.2,77.0,46.9,5,1.32
Tamil Nadu,District_9,Kharif,Cotton,Sandy,933.6,36.3,57.3,65.2,7.3,Canal,Wheat,Medium,83.4,57.4,129.9,5,1.65
Haryana,District_39,Rabi,Sugarcane,Red,1064.1,21.3,85.1,206.8,6.2,Drip,Cotton,Low,56.1,38.6,137.8,9,67.66
Maharashtra,District_32,Rabi,Maize,Alluvial,1269.4,34.8,85.9,185.4,7.5,Tubewell,Rice,Medium,71.4,72.7,67.4,8,2.38
West Bengal,District_38,Zaid,Cotton,Black,1482.5,32.5,51.5,82.4,6.1,Tubewell,Pulses,Medium,70.4,65.3,86.7,6,2.25
Manipur,District_2,Rabi,Maize,Black,1214.5,35.6,53.0,78.4,5.6,Tubewell,Cotton,Low,175.6,53.4,127.7,8,2.75
Assam,District_30,Rabi,Cotton,Loamy,1050.1,33.4,45.5,212.7,7.0,Rainfed,Wheat,High,184.9,37.9,106.5,1,2.14
Gujarat,District_10,Rabi,Wheat,Alluvial,1180.7,30.0,76.2,119.3,7.4,Canal,Maize,Low,144.9,86.1,112.4,4,3.19
Odisha,District_42,Rabi,Rice,Loamy,1831.6,24.8,86.2,187.4,7.2,Drip,Rice,Medium,61.8,67.2,100.5,7,3.71
Karnataka,District_31,Rabi,Maize,Sandy,1312.2,36.8,50.6,258.7,7.7,Canal,Cotton,High,130.1,62.1,80.4,1,2.32
Haryana,District_33,Rabi,Maize,Black,2148.0,24.3,93.3,108.4,6.7,Tubewell,Rice,Medium,62.5,37.4,124.0,2,3.28
Haryana,District_4,Zaid,Wheat,Sandy,1208.0,37.0,49.6,189.2,6.2,Canal,Sugarcane,Medium,112.3,71.5,112.8,9,3.42
West Bengal,District_29,Zaid,Pulses,Red,275.8,30.5,60.2,175.6,6.7,Drip,Maize,Low,152.9,24.8,101.0,2,1.34
Manipur,District_21,Rabi,Sugarcane,Red,468.0,34.2,82.7,241.4,7.3,Rainfed,Maize,High,83.0,78.3,79.1,9,50.24
Punjab,District_49,Zaid,Sugarcane,Alluvial,1243.3,29.0,93.5,284.5,5.2,Drip,Cotton,Medium,62.0,81.5,115.4,7,68.86
Manipur,District_48,Kharif,Sugarcane,Sandy,1027.2,23.1,81.6,247.2,5.2,Sprinkler,Sugarcane,High,71.6,37.0,78.7,7,54.35
Haryana,District_46,Rabi,Wheat,Red,1128.3,23.1,75.4,190.0,5.9,Drip,Pulses,High,74.4,52.4,148.6,2,2.75
Meghalaya,District_49,Rabi,Pulses,Black,2314.4,17.7,70.7,132.1,7.8,Tubewell,Rice,Low,110.9,37.0,109.2,6,1.09
Karnataka,District_3,Rabi,Cotton,Loamy,865.4,28.3,64.6,278.9,7.5,Canal,Maize,Low,112.4,90.0,47.0,8,2.08
Punjab,District_13,Kharif,Wheat,Loamy,321.9,36.0,45.4,127.0,5.5,Drip,Wheat,High,88.5,87.0,107.7,8,2.34
Maharashtra,District_1,Zaid,Sugarcane,Red,1299.8,34.5,74.1,180.3,6.2,Canal,Wheat,Low,83.6,64.6,137.8,4,71.3
Punjab,District_15,Zaid,Maize,Loamy,1521.9,29.9,76.9,214.8,5.8,Drip,Wheat,Low,71.5,98.3,45.0,4,2.35
Rajasthan,District_30,Kharif,Cotton,Alluvial,2091.1,18.7,54.4,195.6,5.8,Rainfed,Sugarcane,High,113.4,65.8,147.1,5,1.51
Meghalaya,District_36,Rabi,Maize,Red,670.1,35.7,89.9,150.0,6.0,Sprinkler,Pulses,High,117.4,47.5,119.1,2,2.44
Odisha,District_10,Zaid,Pulses,Red,1226.7,30.6,47.9,89.1,5.5,Sprinkler,Sugarcane,High,70.8,37.3,101.9,1,1.05
Rajasthan,District_2,Zaid,Maize,Black,1579.7,15.0,80.4,271.0,6.1,Drip,Cotton,Low,157.7,25.0,118.0,6,3.44
Assam,District_47,Zaid,Maize,Red,2245.9,16.8,92.2,188.5,6.7,Drip,Rice,Medium,142.3,91.3,46.6,9,2.61
Karnataka,District_36,Rabi,Maize,Alluvial,2668.7,23.4,55.6,80.6,5.9,Tubewell,Wheat,Low,98.2,63.8,125.1,8,2.69
West Bengal,District_35,Kharif,Cotton,Alluvial,1892.8,27.7,63.9,231.6,5.9,Sprinkler,Maize,High,117.4,91.6,123.2,4,2.34
Maharashtra,District_22,Rabi,Pulses,Loamy,1664.8,25.2,84.4,139.4,5.6,Rainfed,Rice,High,106.7,25.5,119.0,4,0.99
West Bengal,District_5,Zaid,Wheat,Loamy,488.8,29.7,62.9,222.9,6.6,Rainfed,Rice,High,91.4,71.7,62.5,7,2.89
Maharashtra,District_31,Rabi,Cotton,Black,1642.3,19.2,46.1,286.3,6.9,Canal,Maize,Medium,168.5,46.5,90.6,7,2.09
Odisha,District_32,Rabi,Rice,Black,246.8,21.3,43.4,207.3,6.4,Drip,Sugarcane,Medium,140.9,63.8,127.9,9,3.03
West Bengal,District_16,Rabi,Cotton,Black,2423.6,37.1,62.7,234.6,5.7,Sprinkler,Wheat,Medium,173.4,37.3,114.3,2,1.89
Odisha,District_25,Zaid,Wheat,Red,3633.4,26.9,48.9,86.1,6.0,Canal,Rice,High,156.4,67.1,92.8,1,3.04
Haryana,District_35,Zaid,Rice,Alluvial,1176.7,33.8,41.8,221.0,5.8,Drip,Cotton,Low,87.9,77.6,127.3,1,4.12
Haryana,District_1,Zaid,Pulses,Black,1526.6,17.0,79.6,229.0,7.0,Drip,Wheat,Low,187.4,47.9,101.7,6,1.53
Punjab,District_44,Rabi,Wheat,Red,2024.5,15.7,44.3,76.7,6.7,Rainfed,Pulses,High,140.4,92.5,91.4,6,2.46
Karnataka,District_22,Kharif,Rice,Black,1294.3,34.9,60.7,144.7,6.4,Canal,Rice,Medium,65.1,51.0,40.8,5,3.59
Karnataka,District_13,Kharif,Rice,Sandy,1920.5,15.7,87.3,152.4,7.7,Tubewell,Cotton,Low,68.1,95.6,109.8,1,3.85
Gujarat,District_40,Rabi,Rice,Sandy,488.4,26.3,76.3,147.6,5.3,Sprinkler,Rice,Medium,196.1,85.6,48.1,8,3.13
Karnataka,District_39,Kharif,Maize,Alluvial,994.5,35.4,94.6,73.0,6.5,Rainfed,Wheat,Medium,99.3,51.5,89.7,9,2.28
Rajasthan,District_39,Zaid,Pulses,Alluvial,1255.7,33.7,60.5,171.7,7.0,Tubewell,Pulses,Medium,179.1,53.3,98.5,9,1.24
Assam,District_11,Rabi,Rice,Red,2564.2,17.5,51.4,141.9,5.8,Drip,Cotton,High,143.8,23.2,59.5,2,2.78
Odisha,District_46,Rabi,Sugarcane,Red,2056.8,21.2,49.5,131.1,5.8,Drip,Cotton,High,117.2,79.7,101.0,1,54.1
Manipur,District_16,Rabi,Wheat,Red,523.9,23.0,91.5,195.0,7.4,Drip,Wheat,Low,164.1,72.9,94.7,3,3.43
Meghalaya,District_38,Kharif,Wheat,Alluvial,323.9,25.9,90.1,237.5,6.9,Canal,Wheat,Low,128.0,26.8,51.9,9,3.18
Haryana,District_5,Kharif,Cotton,Black,737.0,18.7,58.1,171.5,7.4,Rainfed,Maize,High,190.7,54.1,142.5,1,1.82
Meghalaya,District_31,Zaid,Maize,Black,1432.2,27.2,55.3,257.9,7.3,Drip,Cotton,High,158.7,75.1,100.2,9,2.5
Haryana,District_38,Zaid,Pulses,Sandy,1057.3,19.1,77.1,145.8,7.3,Rainfed,Pulses,High,126.5,46.0,75.6,9,1.18
West Bengal,District_11,Zaid,Cotton,Alluvial,1729.0,26.3,44.2,258.6,5.9,Drip,Wheat,Medium,183.4,67.7,102.5,2,2.24
Odisha,District_25,Kharif,Rice,Alluvial,723.4,17.8,86.0,160.1,5.9,Tubewell,Cotton,Medium,168.2,93.0,73.7,3,3.82
Gujarat,District_9,Rabi,Pulses,Red,1385.1,31.5,93.9,96.8,7.6,Rainfed,Pulses,Medium,128.4,71.5,136.6,7,1.06
Meghalaya,District_45,Zaid,Cotton,Red,1112.6,21.7,91.0,81.1,6.4,Tubewell,Rice,High,192.1,92.1,117.1,9,1.96
Manipur,District_32,Rabi,Wheat,Loamy,1150.7,30.8,62.9,129.0,6.6,Rainfed,Wheat,Low,182.8,90.1,89.0,1,3.17
Punjab,District_32,Kharif,Wheat,Sandy,1559.7,33.6,46.6,170.7,5.5,Rainfed,Wheat,High,116.3,23.8,96.9,7,2.8
Meghalaya,District_41,Rabi,Wheat,Alluvial,2735.1,20.2,85.7,126.3,6.1,Rainfed,Pulses,Low,69.3,28.1,142.5,6,2.74
Odisha,District_7,Rabi,Sugarcane,Red,1351.1,35.7,57.9,82.1,5.7,Drip,Sugarcane,Low,121.2,43.1,89.9,1,58.96
West Bengal,District_43,Kharif,Wheat,Red,981.0,18.1,56.5,73.5,6.4,Sprinkler,Maize,High,81.3,27.3,85.2,4,2.47
Tamil Nadu,District_40,Zaid,Cotton,Sandy,2073.6,16.1,55.4,148.3,6.8,Tubewell,Cotton,High,119.6,68.6,118.5,1,1.5
Manipur,District_38,Kharif,Pulses,Loamy,1355.3,19.5,67.5,96.0,7.1,Sprinkler,Maize,High,139.1,26.3,137.9,6,1.1
Tamil Nadu,District_2,Kharif,Cotton,Red,1040.3,23.6,89.9,68.4,5.3,Drip,Sugarcane,Medium,192.4,97.2,43.1,6,1.61
Rajasthan,District_39,Rabi,Rice,Loamy,1177.0,37.6,91.6,125.8,6.9,Sprinkler,Wheat,Medium,159.4,66.2,132.7,4,2.75
Odisha,District_20,Kharif,Sugarcane,Loamy,989.6,28.1,46.9,243.5,5.9,Canal,Wheat,Medium,151.1,71.7,107.8,1,56.55
Rajasthan,District_1,Rabi,Sugarcane,Loamy,1155.3,20.9,91.5,63.1,6.2,Sprinkler,Wheat,Medium,167.3,35.1,129.7,3,56.15
Punjab,District_1,Rabi,Wheat,Black,1533.9,18.8,50.1,68.8,7.4,Drip,Rice,Medium,129.3,46.2,71.9,8,3.24
Haryana,District_2,Zaid,Maize,Sandy,886.0,35.3,76.5,289.6,5.2,Sprinkler,Pulses,Medium,58.9,60.1,140.4,8,2.21
Manipur,District_4,Rabi,Pulses,Sandy,1153.0,23.0,69.8,121.9,5.9,Drip,Sugarcane,High,143.1,95.6,112.6,3,1.16
West Bengal,District_50,Zaid,Sugarcane,Sandy,429.1,27.0,76.4,145.8,6.2,Canal,Wheat,Medium,92.9,76.5,79.5,5,58.34
Maharashtra,District_35,Zaid,Sugarcane,Red,843.8,32.2,51.1,254.9,5.4,Tubewell,Rice,Low,90.6,85.8,122.2,5,65.17
Rajasthan,District_16,Kharif,Cotton,Red,2547.6,20.3,43.2,216.8,7.1,Drip,Rice,High,92.5,65.7,46.5,8,2.04
Haryana,District_43,Zaid,Wheat,Red,809.6,32.1,89.4,122.5,6.8,Rainfed,Pulses,Low,56.4,50.9,72.2,4,3.53
Assam,District_47,Kharif,Cotton,Loamy,2174.7,32.1,95.0,230.5,7.0,Tubewell,Maize,Low,148.2,75.6,77.6,3,1.98
Haryana,District_36,Rabi,Maize,Sandy,478.9,24.4,68.2,75.6,6.5,Canal,Rice,High,193.9,98.3,98.5,8,2.06
Uttar Pradesh,District_50,Kharif,Rice,Black,377.6,23.0,43.9,238.5,6.7,Rainfed,Wheat,Low,135.8,42.9,129.6,7,3.7
Haryana,District_50,Rabi,Cotton,Alluvial,641.9,19.0,78.0,195.2,5.6,Sprinkler,Cotton,High,153.3,31.4,83.8,2,1.71
Tamil Nadu,District_6,Rabi,Rice,Sandy,1451.6,28.4,57.5,152.0,6.3,Rainfed,Rice,Medium,113.4,73.1,124.5,7,4.35
Odisha,District_17,Rabi,Wheat,Black,1264.8,15.6,82.4,79.7,6.9,Canal,Sugarcane,High,170.5,42.6,89.4,3,2.56
Manipur,District_22,Kharif,Rice,Black,2129.3,17.6,65.8,100.6,5.3,Tubewell,Sugarcane,Low,100.7,32.1,109.7,2,3.49
Meghalaya,District_23,Kharif,Sugarcane,Loamy,391.2,22.3,75.7,170.3,6.7,Canal,Maize,High,138.6,85.9,112.2,6,51.82
Maharashtra,District_14,Kharif,Cotton,Sandy,1647.3,27.6,77.3,72.7,5.4,Tubewell,Wheat,Medium,167.6,88.8,106.5,3,1.75
Karnataka,District_45,Rabi,Pulses,Sandy,633.8,25.9,63.1,139.4,5.5,Canal,Pulses,High,122.7,88.0,120.3,5,0.91
West Bengal,District_25,Rabi,Pulses,Sandy,555.9,26.2,59.9,174.0,7.4,Rainfed,Pulses,Medium,198.6,70.5,127.3,9,1.32
Odisha,District_13,Kharif,Wheat,Alluvial,1170.8,21.1,91.8,166.6,7.3,Canal,Sugarcane,Medium,123.8,57.7,56.3,8,3.46
Odisha,District_22,Zaid,Rice,Red,1536.0,25.7,93.9,193.1,7.6,Drip,Pulses,High,172.0,73.3,78.4,7,3.46
Punjab,District_7,Rabi,Maize,Alluvial,2043.9,30.2,89.3,120.4,7.3,Sprinkler,Sugarcane,Low,106.7,85.0,94.3,7,2.74
Tamil Nadu,District_32,Zaid,Rice,Black,1236.8,33.8,52.4,203.5,5.5,Sprinkler,Sugarcane,Medium,196.8,56.4,130.4,5,3.1
Meghalaya,District_41,Kharif,Maize,Sandy,883.2,21.9,56.4,194.2,5.9,Rainfed,Wheat,Low,191.1,60.9,54.2,7,2.6
Assam,District_7,Rabi,Sugarcane,Red,666.9,23.9,94.6,196.5,6.8,Canal,Maize,Low,120.7,73.0,145.2,4,64.33
Rajasthan,District_10,Zaid,Wheat,Red,794.0,23.4,93.9,146.6,5.5,Rainfed,Maize,Medium,166.7,49.3,108.3,9,2.66
Maharashtra,District_32,Zaid,Rice,Red,1341.9,33.8,58.8,263.9,7.8,Rainfed,Pulses,Low,102.3,30.3,55.9,2,3.78
Assam,District_21,Kharif,Cotton,Alluvial,633.0,21.7,81.9,241.4,6.4,Tubewell,Pulses,Medium,157.6,56.1,133.7,8,2.56
Haryana,District_7,Zaid,Wheat,Sandy,2268.0,31.2,59.1,139.3,5.9,Rainfed,Rice,High,132.3,48.8,99.4,5,3.51
Haryana,District_12,Rabi,Maize,Red,1916.6,29.1,90.0,146.2,7.0,Sprinkler,Wheat,Low,58.4,83.1,131.3,7,2.85
Karnataka,District_20,Kharif,Rice,Alluvial,1432.0,21.5,48.5,129.0,6.8,Sprinkler,Sugarcane,Medium,77.8,92.7,85.2,5,4.21
Haryana,District_35,Zaid,Pulses,Sandy,693.6,20.9,67.0,287.1,6.2,Rainfed,Sugarcane,High,146.0,54.2,45.1,4,1.02
Rajasthan,District_20,Kharif,Maize,Loamy,1397.9,18.3,77.8,285.8,6.7,Drip,Rice,Low,64.8,24.4,127.5,8,2.9
Rajasthan,District_5,Rabi,Maize,Alluvial,1963.0,21.0,85.7,124.3,6.1,Canal,Sugarcane,Low,79.8,60.6,132.8,8,2.62
Punjab,District_24,Rabi,Rice,Alluvial,909.2,28.4,71.7,78.5,7.2,Drip,Sugarcane,Medium,186.4,60.8,119.1,1,3.08
Haryana,District_16,Kharif,Maize,Sandy,2100.5,21.0,72.0,262.1,6.0,Canal,Maize,High,184.6,69.6,86.5,5,2.8
Uttar Pradesh,District_7,Zaid,Wheat,Sandy,1146.2,37.7,72.4,138.6,7.5,Canal,Cotton,High,96.8,41.9,94.4,4,2.23
West Bengal,District_48,Zaid,Pulses,Black,1296.8,34.9,44.1,93.0,6.8,Sprinkler,Wheat,Low,127.7,33.5,54.2,1,1.44
Maharashtra,District_37,Zaid,Rice,Sandy,1238.1,15.4,42.6,192.0,7.8,Tubewell,Cotton,Medium,101.3,47.5,54.8,6,3.59
Tamil Nadu,District_40,Kharif,Wheat,Loamy,1056.4,26.4,77.1,255.9,7.0,Drip,Wheat,Low,142.4,88.3,139.1,6,3.36
